Location,Room,Number_of_guest,bed_type,Number_of_bed,Number_of_bath,wifi,Air_cond,Kitchen,Self_check_in,Rating,Price_in_MYR,Price_in_MYR_per_guest
Kuala Lumpur,Entire rental unit,4, 2 bedrooms,2.0,2,True,True,True,True,5.0,220.5,55.125
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,False,5.0,153.0,38.25
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,True,5.0,144.0,72.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,True,True,4.87,112.5,56.25
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.72,139.5,34.875
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.91,121.5,30.375
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.79,112.5,28.125
Federal Territory of Kuala Lumpur,Entire condominium (condo),3, Studio,2.0,1,True,True,True,False,4.76,99.0,33.0
Kampung Baru,Entire serviced apartment,2, Studio,1.0,1,True,True,True,False,4.96,94.5,47.25
Seri Kembangan,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.86,99.0,49.5
Kuala Lumpur,Hotel room,2, 1 bedroom,1.0,1,True,True,False,False,4.51,58.5,29.25
Cheras,Entire condominium (condo),2, Studio,1.0,1.5,True,True,True,False,5.0,76.5,38.25
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,2,True,True,True,False,4.52,94.5,47.25
Kuala Kubu Baru,Entire villa,10, 3 bedrooms,8.0,3,False,True,True,False,4.94,1255.5,125.55
Cheras,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.92,76.5,38.25
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,False,4.77,117.0,29.25
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,False,4.89,108.0,54.0
Kuala Lumpur,Entire rental unit,4, 1 bedroom,2.0,1,True,True,True,False,4.9,135.0,33.75
Petaling Jaya,Entire serviced apartment,4, Studio,2.0,1,True,True,True,False,4.87,58.5,14.625
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,True,False,4.77,121.5,60.75
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1.5,True,True,True,False,4.5,130.5,65.25
Kuala Lumpur,Entire rental unit,4, 1 bedroom,2.0,1,True,True,False,False,4.71,72.0,18.0
Kuala Lumpur,Private room,2, 1 bedroom,2.0,1,True,True,True,False,4.64,162.0,81.0
Kuala Lumpur,Entire loft,3, 1 bedroom,1.0,1,True,True,False,False,4.45,45.0,15.0
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,False,4.77,171.0,57.0
