Title,Company Name,Location,Salary,Rating,Descriptions
"Analyst, Product Safety (Korea Speaker)",BASF,Kuala Lumpur,,4.1,"Work as Shared Service functional team to provide EHS Services delivery, such as GTS blocked order releasing, trade control data maintenance, SDS and product…"
Automation Analyst,TMF Group,Kuala Lumpur,,3.5,"Prior experience in data analytics, process automation, master data management or process improvement. You’ll work as part of a small team of problem solvers…"
"Data Visualization Specialist, Greater China Region (Chinese...",Air Liquide,Kuala Lumpur,,3.8,"Good to have knowledge of cloud technologies like Azure data factory, AWS data lake etc. Experience visualizing/presenting data for stakeholders."
BUSINESS & INDUSTRY ANALYSTS,SMITH ZANDER INTERNATIONAL,Kuala Lumpur,,,"Resourceful and persistent in data gathering. Collate and tabulate data systematically and accurately. Perform meaningful data analysis, including developing…"
Trade Compliance Operations Senior Analyst,Cargill,Kuala Lumpur,,3.8,Ensure documents and data meet legal and fiscal requirements and records are maintained in accordance to guidelines. Knowledge of foreign exchange controls.
SSIS/SSRS Developer,Mission Consultancy Services Malaysia,Kuala Lumpur,"RM 8,000 - RM 9,999 a month",,Exhibits sound and comprehensive communication and diplomacy skills to exchange complex information Managerial (team/group responsibilities) Support the…
"Finance, Analyst (Cash Management)",AIA,Kuala Lumpur,,,This position requires the incumbent to prepare daily operational funding in order to ensure optimal and efficient utilization of operational cash for AIA Bhd.…
"Analyst, Talent Sourcing (Japanese Speaker)",CBRE,Kuala Lumpur,,3.7,The APAC HR Team delivers service across all functional areas of Shared Services and regional business lines. Partnering with in-country TA partners and develop…
Analyst Programmer,Genting Malaysia Berhad,Kuala Lumpur,,3.8,Strong understanding of data warehousing techniques and data modelling. Knowledge of data warehouse architecture and data warehouse experience.
KYC Analyst (fintech),Robert Walters,Kuala Lumpur,,,"Manage the reporting of quality and productivity for the unit, and provide data for periodic reports to global, regional and local management members and…"
VP of Engineering,Shoppr Labs Sdn Bhd,Kuala Lumpur,,,You will be leading our software & data engineering team and your job scope will include: Build a data-driven SPA with the ability to manipulate complex filters…
Business Analyst,Ambition,Kuala Lumpur,"RM 8,000 - RM 9,000 a month",,"At least 3 years' experience in business and data analysis, project management and/or reporting. You will be assisting the Process Servicing Teams in building…"
GTWB - Project Management,CIMB Group,Kuala Lumpur,,3.9,"Provide advice and plan for testing, data migration, deployment and training based on technical and business dependencies."
SENIOR TEST ANALYST,JT Outsource Solutions Sdn Bhd,Kuala Lumpur,"RM 1,200 a month",,Testing in agile projects using manual and automation tools; Manage vendors in the delivery of testing services; Design and improve methodologies to ensure…
